 ;SB 5000TL-20 442 / current / Wartości średnie  [A]0
19:30. 26;"0,360"
19:45. 26;"0,220"
20:00. 26;"0,080"
20:15. 26;"0,000"
20:30. 26;"0,000"
20:45. 26;
21:00. 26;
21:15. 26;
21:30. 26;
21:45. 26;
22:00. 26;
22:15. 26;
22:30. 26;
22:45. 26;
23:00. 26;
23:15. 26;
23:30. 26;
23:45. 26;
00:00. 27;
00:15. 27;
00:30. 27;
00:45. 27;
01:00. 27;
01:15. 27;
01:30. 27;
01:45. 27;
02:00. 27;
02:15. 27;
02:30. 27;
02:45. 27;
03:00. 27;
03:15. 27;
03:30. 27;
03:45. 27;
04:00. 27;
04:15. 27;
04:30. 27;
04:45. 27;
05:00. 27;
05:15. 27;
05:30. 27;
05:45. 27;"0,000"
06:00. 27;"0,030"
06:15. 27;"0,150"
06:30. 27;"0,310"
06:45. 27;"0,840"
07:00. 27;"1,490"
07:15. 27;"2,040"
07:30. 27;"2,000"
07:45. 27;"0,870"
08:00. 27;"1,040"
08:15. 27;"5,240"
08:30. 27;"10,040"
08:45. 27;"11,160"
09:00. 27;"11,900"
09:15. 27;"13,140"
09:30. 27;"14,000"
09:45. 27;"14,760"
10:00. 27;"15,370"
10:15. 27;"15,980"
10:30. 27;"16,520"
10:45. 27;"16,750"
11:00. 27;"17,040"
11:15. 27;"17,220"
11:30. 27;"17,410"
11:45. 27;"17,620"
12:00. 27;"17,760"
12:15. 27;"17,760"
12:30. 27;"17,720"
12:45. 27;"17,420"
13:00. 27;"17,280"
13:15. 27;"17,180"
13:30. 27;"16,830"
13:45. 27;"16,460"
14:00. 27;"16,000"
14:15. 27;"15,620"
14:30. 27;"15,030"
14:45. 27;"14,390"
15:00. 27;"13,630"
15:15. 27;"13,050"
15:30. 27;"12,220"
15:45. 27;"11,330"
16:00. 27;"10,400"
16:15. 27;"9,380"
16:30. 27;"8,240"
16:45. 27;"7,030"
17:00. 27;"5,870"
17:15. 27;"4,680"
17:30. 27;"3,600"
17:45. 27;"2,540"
18:00. 27;"1,620"
18:15. 27;"1,020"
18:30. 27;"0,760"
18:45. 27;"0,690"
19:00. 27;"0,590"
19:15. 27;"0,480"
19:30. 27;"0,360"
19:45. 27;"0,220"
20:00. 27;"0,090"
20:15. 27;"0,010"
20:30. 27;"0,000"
20:45. 27;
21:00. 27;
21:15. 27;
21:30. 27;
21:45. 27;
22:00. 27;
22:15. 27;
22:30. 27;
22:45. 27;
23:00. 27;
23:15. 27;
23:30. 27;
23:45. 27;
00:00. 28;
