 ;SB 5000TL-20 442 / Grid current phase L1 / Wartości średnie  [A]0
18:45. 6;"0,340"
19:00. 6;"0,250"
19:15. 6;"0,130"
19:30. 6;"0,000"
19:45. 6;"0,000"
20:00. 6;
20:15. 6;
20:30. 6;
20:45. 6;
21:00. 6;
21:15. 6;
21:30. 6;
21:45. 6;
22:00. 6;
22:15. 6;
22:30. 6;
22:45. 6;
23:00. 6;
23:15. 6;
23:30. 6;
23:45. 6;
00:00. 7;
